title,url,agency,location,salary,closing_date,search_term
Senior Victim Centered Approach Official,https://www.usajobs.gov/job/801586200,Department of Homeland Security - Agency Wide,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 07/25/2024 to 03/24/2025,Information Security Analyst
IT SPECIALIST (SYSADMIN/CUSTSPT),https://www.usajobs.gov/job/832738100,Army National Guard Units,"Jackson, Mississippi Jackson, Mississippi",Not specified,Opening and closing dates Open 02/27/2025 to 03/13/2025,Information Security Analyst
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/816135300,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 10/31/2024 to 10/30/2025,Information Security Analyst
IT SPECIALIST (INFOSEC),https://www.usajobs.gov/job/831746800,Air National Guard Units,"Lincoln, Nebraska Lincoln, Nebraska",Not specified,Opening and closing dates Open 02/18/2025 to 09/26/2025,Information Security Analyst
Imagery Analyst Joint PED Operations Center JPOC,https://www.usajobs.gov/job/816209100,Department of Homeland Security - Agency Wide,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 10/28/2024 to 03/17/2025,Information Security Analyst
IT CYBERSECURITY SPECIALIST (INFOSEC),https://www.usajobs.gov/job/819978500,Army National Guard Units,"Lincoln, Nebraska Lincoln, Nebraska",Not specified,Opening and closing dates Open 11/20/2024 to 09/26/2025,Information Security Analyst
ITSPEC (CUSTSPT),https://www.usajobs.gov/job/810088100,Air National Guard Units,"Cheyenne, Wyoming Cheyenne, Wyoming",Not specified,Opening and closing dates Open 09/17/2024 to 09/16/2025,Information Security Analyst
"Interdisciplinary-Computer Engineer, Electronics Engineer, Operations Research, Computer Scientist",https://www.usajobs.gov/job/832993000,Department of the Air Force - Agency Wide,"Lackland AFB, Texas Lackland AFB, Texas",Not specified,Opening and closing dates Open 03/03/2025 to 03/14/2025,Information Security Analyst
IT CYBERSECURITY SPECIALIST (INFOSEC),https://www.usajobs.gov/job/832592800,Army National Guard Units,"Indiantown Gap, Pennsylvania Indiantown Gap, Pennsylvania",Not specified,Opening and closing dates Open 02/26/2025 to 03/12/2025,Information Security Analyst
IT CYBERSECURITY SPECIALIST (INFOSEC),https://www.usajobs.gov/job/832593000,Army National Guard Units,"Indiantown Gap, Pennsylvania Indiantown Gap, Pennsylvania",Not specified,Opening and closing dates Open 02/26/2025 to 03/12/2025,Information Security Analyst
FINANCIAL MANAGEMENT SPECIALIST,https://www.usajobs.gov/job/815775400,Air Force Civilian Career Training,Multiple Locations,Not specified,Opening and closing dates Open 10/17/2024 to 09/30/2025,Information Security Analyst
IT SPECIALIST (CUSTSPT),https://www.usajobs.gov/job/832599100,Army National Guard Units,"Indiantown Gap, Pennsylvania Indiantown Gap, Pennsylvania",Not specified,Opening and closing dates Open 02/26/2025 to 03/12/2025,Information Security Analyst
IT SPECIALIST (CUSTSPT)(Title 32),https://www.usajobs.gov/job/832671300,Air National Guard Units,"East Granby, Connecticut East Granby, Connecticut",Not specified,Opening and closing dates Open 02/26/2025 to 03/12/2025,Information Security Analyst
Program Analyst,https://www.usajobs.gov/job/832923100,Customs and Border Protection,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/05/2025 to 03/11/2025,Information Security Analyst
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/816135300,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 10/31/2024 to 10/30/2025,Test Automation Engineer
"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)",https://www.usajobs.gov/job/812252200,Federal Aviation Administration,May be filled in various FAA duty locations,Not specified,Opening and closing dates Open 10/03/2024 to 09/30/2025,Test Automation Engineer
IT SPECIALIST (SYSADMIN/CUSTSPT),https://www.usajobs.gov/job/832738100,Army National Guard Units,"Jackson, Mississippi Jackson, Mississippi",Not specified,Opening and closing dates Open 02/27/2025 to 03/13/2025,Test Automation Engineer
Safety Engineer (Special Programs),https://www.usajobs.gov/job/819122000,Veterans Health Administration,"Phoenix, Arizona Phoenix, Arizona",Not specified,Opening and closing dates Open 11/15/2024 to 03/10/2025,Test Automation Engineer
Information Technology - Auditor,https://www.usajobs.gov/job/832612200,Supreme Court of the United States,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 02/26/2025 to 03/12/2025,IT Auditor
IT SPEC (INFOSEC),https://www.usajobs.gov/job/832793000,Air National Guard Units,"Eastover, South Carolina Eastover, South Carolina",Not specified,Opening and closing dates Open 02/27/2025 to 03/14/2025,IT Auditor
ITSPEC (CUSTOMER SUPPORT),https://www.usajobs.gov/job/806611100,Air National Guard Units,"Eielson AFB, Alaska Eielson AFB, Alaska",Not specified,Opening and closing dates Open 08/26/2024 to 08/25/2025,IT Auditor
ITSPEC (CUSTSPT),https://www.usajobs.gov/job/810088100,Air National Guard Units,"Cheyenne, Wyoming Cheyenne, Wyoming",Not specified,Opening and closing dates Open 09/17/2024 to 09/16/2025,IT Auditor
IT SPECIALIST,https://www.usajobs.gov/job/811434300,Air Force Materiel Command,Multiple Locations,Not specified,Opening and closing dates Open 09/24/2024 to 09/23/2025,IT Auditor
IT SPECIALIST (SYSADMIN),https://www.usajobs.gov/job/814700500,Naval Air Systems Command,"China Lake, California China Lake, California",Not specified,Opening and closing dates Open 10/22/2024 to 04/22/2025,IT Auditor
IT Specialist,https://www.usajobs.gov/job/826601200,U.S. Army Test and Evaluation Command,Multiple Locations,Not specified,Opening and closing dates Open 01/01/2025 to 12/31/2025,IT Auditor
IT Specialist,https://www.usajobs.gov/job/826604100,U.S. Army Test and Evaluation Command,Multiple Locations,Not specified,Opening and closing dates Open 01/01/2025 to 12/31/2025,IT Auditor
IT SPECIALIST (APPSW),https://www.usajobs.gov/job/827501800,Naval Education and Training Command,"Naval Air Station Pensacola, Florida Naval Air Station Pensacola, Florida",Not specified,Opening and closing dates Open 01/13/2025 to 07/14/2025,IT Auditor
Information Technology,https://www.usajobs.gov/job/828872400,Department of the Air Force - Agency Wide,Location Negotiable After Selection,Not specified,Opening and closing dates Open 01/21/2025 to 01/20/2026,IT Auditor
Information Technology,https://www.usajobs.gov/job/828878600,Department of the Air Force - Agency Wide,Location Negotiable After Selection,Not specified,Opening and closing dates Open 01/21/2025 to 01/20/2026,IT Auditor
IT Specialist (APPSW),https://www.usajobs.gov/job/828947200,Naval Supply Systems Command,"Naval Support Activity, Mechanicsburg, Pennsylvania Naval Support Activity, Mechanicsburg, Pennsylvania",Not specified,Opening and closing dates Open 01/24/2025 to 03/11/2025,IT Auditor
